batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,bw_gb_s,bw_util_pct
1,1024,24,16,3,339,32,128,0.2144,0.1473,nan,0.129,1.6618,1.1416,nan,215.2381,74.7355
1,1024,24,24,3,500,32,128,0.5077,0.2876,nan,0.2161,2.3497,1.3311,nan,189.5735,65.8241
1,1024,24,32,3,666,32,128,0.6227,0.395,nan,0.2826,2.2034,1.3976,nan,193.0435,67.029
1,1024,24,36,3,753,32,128,0.6554,0.4424,nan,0.3082,2.1262,1.4352,nan,200.1329,69.4906
1,1024,32,6,2,177,32,128,0.1782,0.1167,nan,0.1085,1.6415,1.0755,nan,106.8679,37.1069
1,1024,32,10,2,277,32,128,0.2024,0.1362,nan,0.126,1.607,1.081,nan,144.1301,50.0452
1,1024,32,16,2,439,32,128,0.4817,0.2662,nan,0.2007,2.3999,1.3265,nan,143.3469,49.7732
1,1024,32,24,3,667,32,128,0.6359,0.392,nan,0.2835,2.2432,1.3829,nan,192.755,66.9288
1,1024,32,32,3,878,32,128,1.0044,0.6993,nan,0.386,2.6018,1.8115,nan,186.313,64.692
1,1024,32,36,3,1000,32,128,1.069,0.835,nan,0.4566,2.3413,1.8287,nan,179.4099,62.2951
1,1024,36,6,2,205,32,128,0.1874,0.1218,nan,0.1134,1.6519,1.0733,nan,118.4316,41.1221
1,1024,36,10,2,333,32,128,0.2161,0.1463,nan,0.128,1.688,1.1429,nan,170.496,59.2
1,1024,36,16,2,504,32,128,0.5047,0.2867,nan,0.215,2.3471,1.3333,nan,153.6,53.3333
1,1024,36,24,3,760,32,128,0.6615,0.4443,nan,0.3096,2.1369,1.4353,nan,201.1164,69.8321
1,1024,36,32,3,1008,32,128,1.0865,0.8448,nan,0.4598,2.3631,1.8374,nan,179.5991,62.3608
1,1024,36,36,3,1129,32,128,1.2094,0.9615,nan,0.5016,2.4108,1.9168,nan,184.3677,64.0166
2,1024,6,6,3,31,32,128,0.0809,0.0328,nan,0.0399,2.0256,0.8205,nan,127.1795,44.1595
