batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,ragged_sibling_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,speedup_sibling_vs_base,bw_gb_s,bw_util_pct
4,0,14,28,3,336,32,128,0.2205,,0.7285333333333334,0.08203333333333333,0.0809,2.688266666666667,,8.882233333333334,1.0139666666666667,1342.3439333333333,466.09159999999997
4,0,21,7,2,126,32,128,0.042666666666666665,,0.22233333333333336,0.018,0.0174,2.377666666666667,,12.378900000000002,1.0334,1839.8183000000001,638.8258
4,0,21,14,2,252,32,128,0.11603333333333332,,0.5481666666666666,0.031566666666666666,0.031933333333333334,3.6763,,17.365033333333333,0.9878333333333332,2092.667033333333,726.6205333333334
4,0,21,21,2,378,32,128,0.2666,,0.8681666666666666,0.15069999999999997,0.15016666666666667,1.7690666666666666,,5.7617,1.0033333333333332,657.5921666666667,228.3306
4,0,21,28,3,504,32,128,0.47283333333333327,,1.3099,0.20633333333333334,0.2056,2.291866666666667,,6.3501,1.0034666666666667,800.4553,277.93586666666664
4,0,28,7,2,168,32,128,0.08026666666666667,,0.35133333333333333,0.021933333333333332,0.02173333333333333,3.657166666666667,,16.015366666666665,1.0095666666666667,2007.3957,697.0124000000001
4,0,28,14,2,336,32,128,0.20856666666666668,,0.7042666666666667,0.07966666666666666,0.07456666666666667,2.6173,,8.838733333333332,1.0691666666666666,1105.4385333333332,383.83279999999996
4,0,28,21,2,504,32,128,0.46659999999999996,,1.2816333333333334,0.2041666666666667,0.2038,2.2853333333333334,,6.277233333333334,1.0019333333333333,647.1116333333333,224.69153333333335
4,0,28,28,2,672,32,128,0.7816333333333333,,1.5931333333333333,0.27286666666666665,0.27299999999999996,2.8644666666666665,,5.838333333333334,0.9995666666666666,645.5772000000001,224.15876666666668
4,4096,7,7,2,42,32,128,1.0553666666666668,0.3456333333333333,,0.35213333333333335,,2.9972666666666665,0.9815333333333333,,,31.268766666666664,10.857233333333333
4,4096,7,14,3,84,32,128,1.4855666666666665,0.3948333333333333,,0.40443333333333337,,3.6734333333333336,0.9762666666666666,,,68.06243333333333,23.63276666666667
4,4096,7,21,3,126,32,128,1.6213,0.5683333333333334,,0.5866666666666667,,2.7650333333333332,0.9692333333333334,,,70.4119,24.448566666666665
4,4096,7,28,3,168,32,128,2.1233,0.8007333333333334,,0.7998333333333333,,2.6564333333333336,1.0009666666666668,,,68.8617,23.910300000000003
4,4096,14,7,2,84,32,128,1.4894999999999998,0.3948,,0.4048,,3.6799,0.9753333333333334,,,54.40106666666667,18.889266666666668
4,4096,14,14,2,168,32,128,2.1178,0.8296,,0.7987666666666667,,2.6540666666666666,1.0398333333333334,,,55.19546666666667,19.165066666666664
4,4096,14,21,3,252,32,128,2.3276666666666666,1.2095333333333333,,1.2199333333333333,,1.9080333333333332,0.9914666666666667,,,67.68856666666666,23.502966666666666
4,4096,14,28,3,336,32,128,3.2182333333333335,1.6559666666666668,,1.6450333333333333,,1.9567333333333332,1.0066666666666666,,,66.93583333333333,23.241600000000002
4,4096,21,7,2,126,32,128,1.6143666666666665,0.5638000000000001,,0.5744333333333334,,2.810366666666667,0.9814333333333334,,,57.50033333333334,19.965366666666664
4,4096,21,14,2,252,32,128,2.4441,1.2037333333333333,,1.2316666666666667,,1.9845,0.9773333333333333,,,53.64006666666666,18.625033333333334
4,4096,21,21,2,378,32,128,3.3836333333333335,1.7429,,1.7059333333333333,,1.9834333333333334,1.0216333333333332,,,58.08856666666667,20.169666666666668
4,4096,21,28,3,504,32,128,4.9233666666666664,2.6201000000000003,,2.4564999999999997,,2.0071666666666665,1.0680333333333334,,,67.2932,23.365700000000004
4,4096,28,7,2,168,32,128,2.1374,0.7982333333333335,,0.7933666666666667,,2.6943333333333332,1.0062,,,55.51576666666667,19.2763
4,4096,28,14,2,336,32,128,3.153966666666667,1.6623333333333334,,1.6497666666666666,,1.9117,1.0076666666666665,,,53.396166666666666,18.540300000000002
4,4096,28,21,2,504,32,128,5.041333333333333,2.5349,,2.4391,,2.0686,1.0390666666666666,,,54.22556666666666,18.828333333333333
4,4096,28,28,2,672,32,128,6.573033333333334,3.4607333333333337,,3.217333333333333,,2.0446666666666666,1.0762666666666667,,,54.81776666666667,19.033966666666668
8,0,7,7,2,42,32,128,0.021433333333333332,,0.11823333333333334,0.015366666666666667,0.018766666666666668,1.397,,7.699866666666666,0.867,1434.0982999999999,497.9508
8,0,7,14,3,84,32,128,0.04763333333333333,,0.26406666666666667,0.026866666666666664,0.0246,1.7968666666666666,,9.9636,1.0926666666666667,2077.5818666666664,721.3826333333333
8,0,7,21,3,126,32,128,0.06369999999999999,,0.42183333333333334,0.0317,0.03163333333333333,2.0063999999999997,,13.288133333333334,1.0030666666666666,2601.2904,903.2258
